price,Brand,Processor,Generation,RAM,ROM,Graphic Card
43490,ASUS,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
54749,HP,Ryzen 5,,8 GB,512 GB SSD,0
76990,Lenovo,Intel Core i7,13th Gen,16 GB,1 TB SSD,0
109990,Infinix,Intel Core i9,13th Gen,32 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
17990,HP,AMD Athlon,,4 GB,256 GB SSD,0
28990,ASUS,Intel Core i3,11th Gen,8 GB,256 GB SSD,0
43990,ASUS,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
69900,Lenovo,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
94990,Lenovo,Intel Core i7,13th Gen,16 GB,512 GB SSD,0
50400,DELL,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
55900,Lenovo,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
87990,DELL,Intel Core i7,13th Gen,16 GB,512 GB SSD,0
51990,DELL,Intel Core i3,13th Gen,8 GB,256 GB SSD,0
69499,Lenovo,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
49990,Lenovo,Ryzen 5,,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
48000,HP,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
30880,ASUS,Ryzen 3,,8 GB,512 GB SSD,0
58999,Lenovo,Intel Core i5,11th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce GTX 
50990,Lenovo,Intel Core i5,11th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
57890,HP,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
37990,Lenovo,Intel Core i3,13th Gen,8 GB,512 GB SSD,0
30173,Lenovo,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
164990,Acer,Intel Core i9,14th Gen,16 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
73140,Acer,AMD Ryzen 7,,16 GB,1 TB HDD,6 GB Graphics/NVIDIA GeForce RTX 
36990,Acer,Ryzen 5,,16 GB,1 TB SSD,0
72990,Acer,Intel Core i5,13th Gen,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
44990,Acer,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
31490,Lenovo,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
38990,Infinix,Intel Core i5,11th Gen,16 GB,512 GB SSD,0
129500,HP,Intel Core i7,14th Gen,16 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
54990,Lenovo,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
49990,ASUS,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
79990,Lenovo,AMD Ryzen 7,,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
